full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Daniel Amartey,27,1994/12/21,Premier League,2018/2019,Midfielder,Leicester City,640,Ghana,0,0,7000000.0
Daniel Sturridge,33,1989/09/01,Premier League,2018/2019,Forward,Liverpool,496,England,2,1,15000000.0
Danilo,31,1991/07/15,Premier League,2018/2019,Defender,Manchester City,806,Brazil,1,0,800000.0
Danilo,31,1991/07/15,Premier League,2018/2019,Defender,Manchester City,806,Brazil,1,0,20000000.0
Danny Drinkwater,32,1990/03/05,Premier League,2018/2019,Midfielder,Chelsea,0,England,0,0,8000000.0
Danny Ings,30,1992/07/23,Premier League,2018/2019,Forward,Southampton,1668,England,7,3,15000000.0
Danny Rose,32,1990/07/02,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,England,0,3,25000000.0
Danny Simpson,35,1987/01/04,Premier League,2018/2019,Defender,Leicester City,291,England,0,0,3500000.0
Danny Ward,29,1993/06/22,Premier League,2018/2019,Goalkeeper,Leicester City,0,Wales,0,0,1500000.0
Danny Ward,29,1993/06/22,Premier League,2018/2019,Goalkeeper,Leicester City,0,Wales,0,0,8000000.0
Danny Ward,31,1990/12/09,Premier League,2018/2019,Forward,Cardiff City,440,England,1,0,1500000.0
Danny Ward,31,1990/12/09,Premier League,2018/2019,Forward,Cardiff City,440,England,1,0,8000000.0
Danny Welbeck,31,1990/11/26,Premier League,2018/2019,Forward,Arsenal,147,England,1,1,12000000.0
Daryl Janmaat,33,1989/07/22,Premier League,2018/2019,Defender,Watford,1521,Netherlands,0,2,6000000.0
David Brooks,25,1997/07/08,Premier League,2018/2019,Forward,AFC Bournemouth,2278,England,7,5,30000000.0
David Button,33,1989/02/27,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,England,0,0,1500000.0
David de Gea,31,1990/11/07,Premier League,2018/2019,Goalkeeper,Manchester United,3420,Spain,0,0,65000000.0
David Luiz,35,1987/04/22,Premier League,2018/2019,Defender,Chelsea,3239,Brazil,3,2,20000000.0
David Silva,36,1986/01/08,Premier League,2018/2019,Midfielder,Manchester City,2411,Spain,6,8,20000000.0
Davide Zappacosta,30,1992/06/11,Premier League,2018/2019,Defender,Chelsea,125,Italy,0,0,15000000.0
Davinson Sánchez,26,1996/06/12,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,Colombia,1,1,55000000.0
Davy Pröpper,31,1991/09/02,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,Netherlands,1,1,15000000.0
DeAndre Yedlin,29,1993/07/09,Premier League,2018/2019,Defender,Newcastle United,2475,USA,1,2,8000000.0
Declan Rice,23,1999/01/14,Premier League,2018/2019,Midfielder,West Ham United,3005,Republic of Ireland,2,0,45000000.0
